IMDB-ID,originalTitle,startYear,genres,documentLength
tt0053295,Sonnensucher,1972,Drama,6605
tt0061069,Tatsu no ko Tarô,1979,Adventure Animation Family,4901
tt0061478,Chun huo,1970,Drama,5409
tt0061962,The Meanest Men in the West,1974,Western,5698
tt0062181,Rece do góry,1981,Drama,2923
tt0062690,O Ritual dos Sádicos,1970,Drama Horror,4412
tt0063066,Hibotan bakuto: oryû sanjô,1970,Action Crime,6592
tt0063493,Reconstituirea,1970,Comedy Drama,5856
tt0063751,L'urlo,1970,Comedy,6891
tt0064004,All the Right Noises,1971,Comedy Drama,11297
tt0064031,Don Franco e Don Ciccio nell'anno della contestazione,1970,Comedy,10085
tt0064105,El bosque del lobo,1970,Drama,4908
tt0064106,Le boucher,1970,Drama Thriller,4945
tt0064111,Bronco Bullfrog,1970,Drama,5860
tt0064121,Camarades,1970,Drama,5498
tt0064126,Cannabis,1970,Action Crime Drama,5476
tt0064165,Les choses de la vie,1970,Drama Romance,3639
tt0064177,Colossus: The Forbin Project,1970,Sci-Fi Thriller,8310
tt0064225,Dernier domicile connu,1970,Crime Thriller,7080
tt0064273,E Dio disse a Caino...,1970,Western,3873
tt0064285,L'enfant sauvage,1970,Drama,4062
tt0064294,La horse,1970,Crime Thriller,3222
tt0064385,"Gori, gori, moya zvezda",1970,Comedy Drama Romance,7223
tt0064423,Heureux qui comme Ulysse...,1970,Comedy,5443
tt0064437,The Honeymoon Killers,1970,Crime Drama Romance,11921
tt0064451,Xia nü,1971,Action Adventure Drama,5220
tt0064494,De Sade 70,1970,Drama Horror,3232
tt0064546,Kladivo na carodejnice,1970,Drama History,8436
tt0064553,Korol Lir,1971,Drama,9496
tt0064582,Der Leone Have Sept Cabeças,1970,Drama,2871
tt0064624,Maid in Sweden,1971,Drama,6457
tt0064687,Los monstruos del terror,1970,Horror Sci-Fi,3569
tt0064741,Nu xia mai ren tou,1970,Action Adventure,3389
tt0064774,"Les yeux ne veulent pas en tout temps se fermer, ou Peut-être qu'un jour Rome se permettra de choisir à son tour",1970,Drama,15162
tt0064779,L'ours et la poupée,1970,Comedy,4731
tt0064787,Paranoia,1970,Drama Mystery Thriller,6197
tt0064791,Le passager de la pluie,1970,Crime Drama Mystery,6189
tt0064796,La peau de torpedo,1970,Crime,5491
tt0064804,Le petit bougnat,1970,Comedy Drama,6083
tt0064806,The Phantom Tollbooth,1970,Adventure Animation Family,10529
tt0064843,Prípad pro zacínajícího kata,1970,Drama Fantasy Mystery,6487
tt0064881,The Reckoning,1970,Drama,7831
tt0064888,La residencia,1970,Horror Mystery Thriller,7043
tt0064902,La rose écorchée,1970,Horror,3057
tt0064905,Rote Sonne,1970,Crime,3474
